type	text
children	adult	string
class
Dogs	 At first sight, Elana Schlenkers pop-up store, Less Than 100, which was open in Pittsburgh during the month of April appeared just like any other gift store. However, when shoppers went to pay, they were in for a surprise. Thats because while men paid full price, women received a 14% discount. Though that may appear to be blatant discrimination, Elana was merely abiding by the stores slogan pay what you are paid. And since women in the US get paid an average of 76 cents for every dollar men earn for the same job, it is only fair that they pay less. As if the stores pricing policy was not enough to get the message across, Elana also distributed pamphlets. Entitled What Are Women Worth?, it explained the status of the wage gap both in Pennsylvania and across the country, and also gave women tips on how to better negotiate salaries. A 2015 study conducted by the Institute for Womens Policy Research found that although the rate of womens income has been rising, men still earn more in every state in the country. But though paying women less wages is a shame, forking out the full price at Less Than 100 wasnt necessarily a bad thing. Thats because the proceeds of all sales went directly to the local artists that had created the beautiful wares. During its month-long tenure, the shop was visited by hundreds of women who wanted to support her mission and the local artists whose work was being showcased. Some even brought in their kids and grandkids to educate them about theimportance of keeping the gender wage debate alive. Elana says that while she received some grief about the discrimination, most men were extremely gracious and happy to pay the full price. Not surprisingly, the unusual venture has drawn worldwide attention. This November, Elana will partner with photographer Tammy Mercure and open a Less than 100 pop-up store in New Orleans.She believes starting the debate in Louisiana is important given that the state boasts the nations widest gender wage disparity. Here, women earn a whopping 34 cents less than their male counterparts. While she has received several requests from California, it may be close to the bottom of her list. Thats because the Golden State is one of the most progressive when it comes to wage equality, and therefore does not need much help. Though the Less than 100 project will not resolve the wage disparity, it is a thought-provoking way to bring to the forefront an issue that is increasingly causing a lot of angst among women. Fortunately, Elana is not the only one trying to change the unfair system. Patricia Arquette made an impassioned plea for gender wage equality in her acceptance speech at the Oscars this February. Ellen Pao the interim CEO of Reddit recently announced that new employees will be forbidden from negotiating salaries. She believes that men are better negotiators then women, and therefore tend to receive higher wages! Whats encouraging is that male CEOs are also joining the fight! Earlier this month, Salesforce CEO Marc Benioff launched a company wide program to address the issue. Called Women Surge it aims to eliminate all gender-based pay disparities, hire and promote more women and ensure that they are better included in meetings! With all these visionaries taking the lead, it will not be long before gender pay inequality is something we will only read about in history books! 
Dogs	 For the casual visitor, Teller Lake in Boulder, Colorado looks like a delightful fishbowl filled with thousands of gorgeous orange, black, and white goldfish floating around. However, to the Colorado Parks and Wildlife Department they are a group of invasive species that could end up disrupting the lakes entire ecosystem if not removed soon. The problem lies in the fact that these fish are not native to the lake, which means that they have no predators. This allows them to reproduce and multiply in large numbers. In fact, park officials believe that the 3,000 - 4,000 specimens currently floating around are all a result of a few unwanted pet goldfish that were dumped into the lake. From the age of the fish, they estimate the incident occurred about three years ago. While that may appear to be the most humane thing to do, it is extremely dangerous, not to mention illegal. Thats because as this non-native species grow in numbers, they compete with the existing fish for food sources like plankton and small insects. Given that there is only a limited supply of resources, this could result in the goldfish overpowering the native fish species. In the case of Teller Lake, the officials are particularly worried that the goldfish will move downstream and affect the population of some of the endangered native species that live there. Another major cause for concern is the diseases the goldfish may be harboring. This could be fatal to the native species since they do not have the immunity to fight new illnesses. The Colorado Parks and Wildlife biologists, therefore, have no option but to extract the fish from the lake in most efficient manner. They are currently contemplating three options - draining the lake, stunning the fish with electricity or using a chemical that interferes with their respiratory system. The fish will then be sent to the local raptor rehabilitation facility and fed to injured birds of prey like eagles and osprey. This is not the first time Boulder has had to deal with unwanted goldfish. A few years ago, 2,275 specimens had to be extracted from the citys Thunderbird Lake. Of course, fish are not the only unwanted pets that get discarded. Florida has been combating an invasion of Burmese pythons since the 1980s and green iguanas since the mid-1990s. However, one of the worst cases of invasive species recorded is that of the Red Lionfish. The non-native species that was accidentally released in the Atlantic by an aquarium, is currently wreaking havoc to the Atlantic Oceans ecosystem all the way from South Florida to Georgia, South Carolina, and North Carolina. According to experts, the best way to dispose of unwanted fish or any other animal is to get advice from the people that originally sold them the pet. They say that most owners believe they are doing the right thing by returning their exotic pet back to the wilderness. However, saving one pet often results in destroying the areas ecosystem and hurting other innocent animals. 
Dogs	 On Saturday April, 25th, a little before noon local time, the tiny landlocked country of Nepal was jolted by a massive earthquake. The 7.8 magnitude tremor that was felt across four countries and affected over 6.6 million people, is the most powerful one the country has experienced in over eight decades. Not surprisingly, it has resulted in a large number of deaths and extensive property damage. While officials currently estimate the death toll to be about 4,000, the numbers could go up substantially as reports from the rugged hillsides that make up most of this impoverished country, come in. Thousands more are injured and even more are without shelter. As strong aftershocks continue to ripple through the area, even residents whose homes are not destroyed have taken to living on the streets. While the magnitude of the earthquake was certainly a factor, experts say the shallowness and the length of the tremor that lasted about 20 seconds, also contributed to the massive destruction. The fact that a majority of the buildings and homes are not built to withstand big tremors did not help. The ripple effect of the earthquake whoseepicenter was 50km from Nepals capital Kathmandu, were felt across northern India, Tibet and Bangladesh, where it killed 36, 12 and 4 residents, respectively. The quake also caused a massive avalanche at the Mount Everest base camp, killing 18 climbers and injuring at least 30. Many climbers are still missing. In addition to the devastating loss of lives, the earthquake has also reduced some of Nepals historic landmarks to rubble. Among them is Kathmandus Dharahara Tower. Built in 1832, the nine-story brick structure was a popular tourist destination. Also destroyed was the Maju Deval Temple. The Unesco World Heritage Site was built in 1690. The only silver lining was that the earthquake occurred on a Saturday, which means that children were not at school. The irony is that just a week ago, 50 earthquake and social scientists from around the world had arrived at Kathmandu to help prepare the congested city for a big tremor. Seismologist James Jackson, the lead scientist for Earthquakes without Frontiers who experienced the earthquake firsthand, says Physically and geologically what happened is exactly what we thought would happen. The only thing the experts miscalculated was the timing! They had not anticipated a big one this soon. While not much can be done about what happened, the world is now rushing to do whatever it can to help the people of Nepal. In addition to the typical aid relief from the Red Cross and countries all over the world, corporations like Google and Facebook are using their worldwide reach to help connect loved ones. Wireless services provider T-Mobile and Internet calling company Viber, have waived fees for all calls and texts to and from Nepal. While it will take the country some time to recover, the new Nepal will hopefully comprise of safer structures, ones that can withstand even the most severe tremors. Nepals position at the junction of the Indian and Eurasian tectonic plates, the collision of which resulted in the Himalayas, is the reason the country is prone to earthquakes. As the Indian plate continues to push north toward Asia, it rubs against the Eurasian plate. This generates stress and energy that builds up until the earths crust finally ruptures. To make matters worse, Nepal sits on a thrust fault. Unlike normal faults that create space when the ground cracks, thrust faults cause the tectonic plates to force themselves atop one another. This results in extremely severe movements. According the Hongfend Yang, an earthquake expert at the Chinese University of Hong Kong, Saturdays massive earthquake resulted in the Indian plate jumping forward by a stunning 2 meters or 6.5 feet! 
Dogs	 On Saturday April, 25th, a little before noon local time, the tiny landlocked country of Nepal was jolted by a massive earthquake. The 7.8 magnitude tremor that was felt across four countries and affected over 6.6 million people, is the most powerful one the country has experienced in over eight decades. Not surprisingly, it has resulted in a large number of deaths and extensive property damage. While officials currently estimate the death toll to be about 4,000, the numbers could go up substantially as reports from the rugged hillsides that make up most of this impoverished country, come in. Thousands more are injured and even more are without shelter. As strong aftershocks continue to ripple through the area, even residents whose homes are not destroyed have taken to living on the streets. While the magnitude of the earthquake was certainly a factor, experts say the shallowness and the length of the tremor that lasted about 20 seconds, also contributed to the massive destruction. The fact that a majority of the buildings and homes are not built to withstand big tremors did not help. The ripple effect of the earthquake whoseepicenter was 50km from Nepals capital Kathmandu, were felt across northern India, Tibet and Bangladesh, where it killed 36, 12 and 4 residents, respectively. The quake also caused a massive avalanche at the Mount Everest base camp, killing 18 climbers and injuring at least 30. Many climbers are still missing. In addition to the devastating loss of lives, the earthquake has also reduced some of Nepals historic landmarks to rubble. Among them is Kathmandus Dharahara Tower. Built in 1832, the nine-story brick structure was a popular tourist destination. Also destroyed was the Maju Deval Temple. The Unesco World Heritage Site was built in 1690. The only silver lining was that the earthquake occurred on a Saturday, which means that children were not at school. The irony is that just a week ago, 50 earthquake and social scientists from around the world had arrived at Kathmandu to help prepare the congested city for a big tremor. Seismologist James Jackson, the lead scientist for Earthquakes without Frontiers who experienced the earthquake firsthand, says Physically and geologically what happened is exactly what we thought would happen. The only thing the experts miscalculated was the timing! They had not anticipated a big one this soon. While not much can be done about what happened, the world is now rushing to do whatever it can to help the people of Nepal. In addition to the typical aid relief from the Red Cross and countries all over the world, corporations like Google and Facebook are using their worldwide reach to help connect loved ones. Wireless services provider T-Mobile and Internet calling company Viber, have waived fees for all calls and texts to and from Nepal. While it will take the country some time to recover, the new Nepal will hopefully comprise of safer structures, ones that can withstand even the most severe tremors. Nepals position at the junction of the Indian and Eurasian tectonic plates, the collision of which resulted in the Himalayas, is the reason the country is prone to earthquakes. As the Indian plate continues to push north toward Asia, it rubs against the Eurasian plate. This generates stress and energy that builds up until the earths crust finally ruptures. To make matters worse, Nepal sits on a thrust fault. Unlike normal faults that create space when the ground cracks, thrust faults cause the tectonic plates to force themselves atop one another. This results in extremely severe movements. According the Hongfend Yang, an earthquake expert at the Chinese University of Hong Kong, Saturdays massive earthquake resulted in the Indian plate jumping forward by a stunning 2 meters or 6.5 feet! 
Tweens	In the days after a crushing earthquake hit the country of Nepal on April 25, there is still time to save lives.  Many governments and aid agencies are sending doctors, volunteers and equipment. They aren't waiting for the dust to settle. The estimates are that thousands of people have been killed. No one knows how many are injured or without food.U.N. spokeswoman Orla Fagan said preventing the spread of disease is one of the most important tasks facing aid workers. Nepal is between India and Tibet. It is home to Mount Everest, the world's largest mountain and part of the Himalayas. An avalanche caused by the quake killed some climbers on the mountain."There are 14 international medical teams on the way and either 14 or 15 international search-and-rescue teams on the way," Fagan said. "They need to get in as soon as possible. They will use military aircraft to get them into Nepal."Diarrhea was already a growing problem. A measles outbreak was feared. Vaccines are in short supply, the U.N. warned in a report.Substantial logistical hurdles remain. But there were hopeful signs as Kathmandu's international airport reopened. There were still delays as aftershocks continued. Some aid vehicles were able to travel over land from India to the stricken Nepalese city of Pokhara."That means supplies could potentially come in over land from India. That is a positive sign," said Ben Pickering, Save the Children's humanitarian adviser in Britain. "The airport opening is a small miracle."He cautioned that chaotic conditions may create a bottleneck at the airport. That could occur as governments and aid agencies try to bring in personnel and supplies.The need is great. UNICEF said Sunday that nearly 1 million children in areas affected by the earthquake are in "urgent need" of humanitarian assistance. UNICEF staff reported dwindling water supplies, power shortages and communications breakdowns.Celebrities like singer Shakira sent tweets appealing for help for UNICEF. The mobile payment company Square created a "cashtag" to donate: cash.me/$unicef. PayPal announced it was waiving fees for donations to several aid organizations.Information was still lacking about conditions at the earthquake's epicenter, Pickering said."Going forward it's about access to the epicenter and helicopters are the key," Pickering said. He added that Save the Children has emergency kits pre-positioned in three warehouses in Nepal. The organization plans to distribute bedding, buckets and other basic supplies to 2,000 families as quickly as possible.Other charities face similar roadblocks.International Search and Rescue Germany said a team of 52 relief workers including doctors, experts trained in searching for people buried under rubble and several dog squads were being flown in. The team will bring a mobile medical treatment center.Spokesman Stefan Heine said the priority was to get to the scene of the quake as quickly as possible. The goal is to find those still alive.They will be supported by numerous governments that have announced plans to send aid worth millions of dollars.A U.S. military plane departed Sunday morning for Nepal carrying 70 personnel. The group included a U.S. Agency for International Development disaster assistance response team. An urban search-and-rescue team from Fairfax, Virginia and 45 tons of cargo were also on board. California was sending a team of 57 urban search-and-rescue workers.The United Arab Emirates deployed an 88-member search-and-rescue team to Nepal. The Emirates Red Crescent also sent a team.The Israeli military said it is sending a 260-member mission. The group will provide immediate search-and-rescue help and medical aid. The mission includes approximately 95 tons of humanitarian and medical supplies and a medical staff of 122 doctors, nurses and paramedics. European nations deployed as well. France said it would send 11 rescuers on Sunday. Britain announced that an advance team of eight had been sent and that a $7.6 million aid package would be available. Italy deployed a team of experts from its Civil Protection Department as well as it foreign crisis team. The Swiss Foreign Ministry said a team of experts including a doctor, a building surveyor and water quality technician had left for Nepal.Poland is sending a rescue team of 81 firefighters. The country is providing heavy equipment and several dogs, as well several medics. The firefighters were delayed by aftershocks and confusion at Kathmandu's airport, said Pawel Fratczak, spokesman for firefighters.Canada sent an advance unit from its urban disaster search and rescue team. The unit includes medical personnel and humanitarian relief supplies.Volunteers from various British charities gathered at London's Heathrow Airport. They prepared for flights to the Nepal region. Gary Francis is the leader of the Search and Rescue Assistance in Disasters group. He said the organization was bringing in enough tents, food and water to operate self-sufficiently for 15 days.They were bringing in "a vast array" of equipment. It included sound and vibration detectors, seismic listening devices and cutting equipment. Their goal would be to find survivors. U.N. humanitarian chief Valerie Amos said "entire areas have been flattened." She said time is very important in search-and-rescue efforts.
Tweens	You asked us, how do vaccines work? Well, vaccines are basically a stupendously brilliant way to train ourselves to fight some downright nasty, even deadly diseases.Let me explain.When we get sick from viruses or bacteria, our immune system creates weapons that attack the invading germs, but every disease is a little different, so we need to develop unique ammo for each one.And that can take time, which we don't always have, because some infections work fast and furious, never really giving us a chance to defend ourselves and the results can be deadly. The genius of vaccines is that they get our bodies to prep defense strategies without us having to actually get sick. Many do it by carrying a weaker or dead version of the germ, just enough to signal to our body to go on the attack, but not so much that an infection flares up.Our immune system then remembers the strategy for each defense, so if you ever come face to face with the real thing, we can get the upper hand by quickly pulling together a deadly strike force of our own. Many vaccines provide lifelong protection and though none is 100% effective, the more people in a population that get vaccinated the more we're able to control diseases. Thanks to vaccines smallpox is a thing of the past.Go science!For more stories like this, check us out every day at smithsonian.com.Go science, it's your birthday. Go science, it's your birthday.
Tweens	The most familiar mummies are the Egyptians, buried in elaborate tombs and surrounded with treasures to escort them into the afterlife.But not all mummies were Egyptian,  or even of the ruling class.Mummies have been found around the world, in circumstances ranging from honored leaders to unfortunate victims.What makes a mummy is its resistance to natural decay. Mummies are bodies that have preserved for long periods of time, either because people prepared them to last or because natural conditions caused accidental preservation.Each mummy is a time capsule that speaks to us from the past.Anthropologists who study mummies gather data from the skeleton as well as the clothing, jewelry, coffin or other accessories.These artifacts provide cultural context that might reveal how the person lived and died.These days, scientists try to peer inside mummies without destroying the linen strips or other materials wrapping the body or the body itself. X-rays are used to see the skeletal structure, while CT Scans can show soft tissues in three dimensions.Find out more about how scientists unravel the mysteries of mummies by joining us on Thursday, May 7, 2015, for a "Smithsonian Science How" live webcast titled Mummy Science – Natural and Cultural Preserved Remains, airing at 11 a.m. and 2 p.m. EDT on the Q?rius website.Dr. David Hunt from the Physical Anthropology Division at the National Museum of Natural History will appear live to discuss and answer questions.You can get teaching resources to support your webcast experience.
Tweens	Think Jaws meets a kangaroo, with maybe a touch of cute kitten and you've got the aptly named pocket shark, the newest and rarest species found off the U.S. coast.Surprised scientists found a tiny, young version of the extraordinarily rare shark that was fished out of the deep Gulf of Mexico in 2010 with lots of other creatures in a government research trip. The dead specimen spent more than three years in a giant freezer waiting to be identified.It turned out to be only the second of its species ever seen. The first pocket shark was found 36 years ago in the Pacific Ocean off the coast of Peru and it's been sitting in a Russian museum ever since.This pocket shark was a male, maybe a few weeks old, about 5.5 inches long. Strangely, this type of shark has two pockets next to its front fins; their purpose is not known. It's not quite like a kangaroo, which uses its pouch to carry young, but few species have pockets this large — about 4 percent of the shark's body."It's cute," said Tulane University biologist Michael Doosey, who co-authored a study in a zoological journal identifying the shark. "It almost looks like a little whale."National Oceanic and Atmospheric Administration fisheries biologist Mark Grace has spent more than 30 years going through bags upon bags of fish to identify them. It took him more than three years to get near the end of the freezer, when he plopped a bag on the table and let it thaw."I wasn't really sure what it was," Grace said. "That pocket over on the pectoral fin, I had never seen anything like that on a shark."It's a small miracle that the shark was not thrown away because a couple of times, the lab with the freezer lost power.Once identified, the shark was shipped to New York and France for high-tech examinations that wouldn't puncture the specimen.The shark also has unusual belly patches not seen in most sharks. The only other pocket shark was a female adult about 17 inches long; it is believed that adult females may be larger than males.But the truly strange thing about this species is its twin pockets. While no one knows what they are for, Grace and Doosey speculated that they may secrete some kind of glowing fluid or pheromones.The Gulf specimen has umbilical scars, showing he's probably a few weeks old, Grace said. Because of that, they think he was born in the Gulf. He was captured in February 2010 by the ship Pisces about 190 miles off the Louisiana coast."There's others" out there, Grace said. "We just haven't caught them yet."
